表620-67002：按零售商類別劃分的零售業銷貨價值及銷貨價值指數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百貨公司,21072,57.3,N.A.,22770,61.9,8.1,25654,69.8,12.7,27856,75.8,8.6,28197,76.7,1.2,32835,89.3,16.4,39938,108.6,21.6,43811,119.1,9.7,51586,140.3,17.7,52273,142.2,1.3,50123,136.3,-4.1,47011,127.8,-6.2,48617,132.2,3.4,53257,144.8,9.5,46353,126.1,-13.0,35939,97.7,-22.5,34752,94.5,-3.3,31294,85.1,-10.0,35176,95.7,12.4
珠寶首飾、鐘錶及名貴禮物,26285,76.9,N.A.,30276,88.6,15.2,37710,110.3,24.6,42668,124.8,13.1,44800,131.0,5.0,60959,178.3,36.1,89373,261.4,46.6,96235,281.5,7.7,118303,346.0,22.9,102098,298.6,-13.7,86213,252.2,-15.6,71354,208.7,-17.2,75045,219.5,5.2,85329,249.6,13.7,66210,193.7,-22.4,30457,89.1,-54.0,38776,113.4,27.3,38815,113.5,0.1,60119,175.8,54.9
其他消費品,40632,59.7,N.A.,43346,63.7,6.7,47857,70.3,10.4,53365,78.4,11.5,53996,79.3,1.2,60916,89.5,12.8,71587,105.2,17.5,78068,114.7,9.1,85350,125.4,9.3,90781,133.4,6.4,88266,129.7,-2.8,87872,129.1,-0.4,92618,136.1,5.4,104660,153.8,13.0,94997,139.6,-9.2,65408,96.1,-31.1,73594,108.1,12.5,75717,111.2,2.9,96537,141.8,27.5
超級市場及百貨公司內的超級市場部門 (1),30279,46.5,N.A.,31802,48.9,5.0,33740,51.8,6.1,37416,57.5,10.9,38440,59.1,2.7,40612,62.4,5.6,45686,70.2,12.5,50502,77.6,10.5,54265,83.4,7.5,57087,87.7,5.2,57914,89.0,1.4,58514,89.9,1.0,58402,89.7,-0.2,59445,91.3,1.8,59365,91.2,-0.1,66113,101.6,11.4,60661,93.2,-8.2,61449,94.4,1.3,57099,87.7,-7.1
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
註釋：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019年10月至2020年9月期內的平均每月指數 = 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
價值指數 (Value index) 量度在某一期間內與參照期相比的價值變動。數量指數 (Volume index) 則是將價值指數內的物價變動因素扣除後所得。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
以上的統計數字是按「香港標準行業分類2.0版」編製。用戶可下載 按「香港標準行業分類1.1版」編製的以往統計數字以作參考。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
由於數字經四捨五入，分項總和未必與總數相等。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 以上「超級市場」的數字不包括百貨公司內的超級市場部門的零售銷售。上表列出兩者合計的補充數字，以供參考。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.A. 沒有數字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料來源：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
政府統計處經銷服務統計組(查詢電話：3903 7400 查詢電郵：mrs@censtatd.gov.hk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
發布日期：2024年5月31日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
